"","stfips","region","year","ymcaid","white","income_pc","hospitals_pc","beds_pc","mort_rate","child_pop","afdc_rate"
"140",8,5,1973,1969,0,5.283,0.035257228,4.6287131,221.10667,35792,15.386324
"141",8,5,1967,1969,0,3.126,0.040204596,5.2130346,302.88025,27101.777,15.386324
"142",8,5,1969,1969,0,3.687,0.039476991,5.3609753,330.68799,29410,15.386324
"143",8,5,1974,1969,0,5.837,0.035413217,4.6981535,177.06516,36236,15.386324
"144",8,5,1977,1969,0,7.535,0.035049602,4.6923814,150.69231,38322,15.386324
"145",8,5,1968,1969,0,3.364,0.038884733,5.2646136,282.03345,28255.891,15.386324
"146",8,5,1976,1969,0,6.88,0.035329379,4.7728853,195.24455,37282,15.386324
"147",8,5,1966,1969,0,2.965,0.039602306,5.1473098,313.50726,25947.666,15.386324
"148",8,5,1962,1969,0,2.461,0.042872816,5.2456794,399.46735,21331.223,15.386324
"149",8,5,1975,1969,0,6.322,0.035572838,4.8263059,210.38551,36693,15.386324
"150",8,5,1966,1969,1,2.965,0.039602306,5.1473098,198.2753,591117.69,2.3637426
"151",8,5,1968,1969,1,3.364,0.038884733,5.2646136,192.32637,604811.88,2.3637426
"152",8,5,1963,1969,1,2.528,0.04133511,5.3645554,252.40547,570576.31,2.3637426
"153",8,5,1976,1969,1,6.88,0.035329379,4.7728853,137.66098,611714,2.3637426
"154",8,5,1969,1969,1,3.687,0.039476991,5.3609753,196.30023,611659,2.3637426
"155",8,5,1973,1969,1,5.283,0.035257228,4.6287131,163.92867,635787,2.3637426
"156",8,5,1967,1969,1,3.126,0.040204596,5.2130346,198.23372,597964.81,2.3637426
"157",8,5,1965,1969,1,2.787,0.039479114,5.2965279,220.36885,584270.56,2.3637426
"158",8,5,1970,1969,1,4.04,0.037696224,5.0041733,201.00087,616430,2.3637426
"159",8,5,1975,1969,1,6.322,0.035572838,4.8263059,136.65288,622359,2.3637426
"160",8,5,1971,1969,1,4.399,0.037766844,5.0503383,183.04294,621201,2.3637426
"161",8,5,1962,1969,1,2.461,0.042872816,5.2456794,249.27272,563729.19,2.3637426
"162",8,5,1972,1969,1,4.774,0.036594775,4.8787484,164.52982,630722,2.3637426
"163",8,5,1977,1969,1,7.535,0.035049602,4.6923814,127.35597,609027,2.3637426
"164",8,5,1964,1969,1,2.628,0.042456869,5.4727941,249.437,577423.44,2.3637426
"165",9,1,1961,1966,0,2.911,0.02317946,4.9665856,382.3356,43892.336,14.223637
"166",9,1,1960,1966,0,2.799,0.023666454,5.0038772,361.5433,40421,14.223637
"167",9,1,1972,1966,0,5.692,0.017917464,4.6259632,259.25171,73400,14.223637
"168",9,1,1970,1966,0,5.071,0.018103806,4.5345101,334.4577,72494,14.223637
"169",9,1,1967,1966,0,4.018,0.018568916,4.5500722,319.2092,64720.336,14.223637
"170",9,1,1964,1966,0,3.258,0.021467878,4.8557425,379.25504,54306.332,14.223637
"171",9,1,1966,1966,0,3.705,0.019265654,4.655983,362.58356,61249,14.223637
"172",9,1,1968,1966,0,4.243,0.018234922,4.5695362,299.84048,68191.664,14.223637
"173",9,1,1974,1966,0,6.794,0.018206704,4.5637054,238.70595,73549,14.223637
"174",9,1,1971,1966,0,5.295,0.017965313,4.5331388,264.65286,73325,14.223637
"175",9,1,1962,1966,0,3.039,0.02309064,5.0409517,419.03998,47363.664,14.223637
"176",9,1,1963,1966,0,3.113,0.022263223,4.930933,433.23929,50835,14.223637
"177",9,1,1959,1966,0,2.711,0.024572613,5.0305376,440.39053,37893.5,14.223637
"178",9,1,1969,1966,0,4.821,0.017249301,4.3594289,325.99493,71663,14.223637
"179",9,1,1965,1966,0,3.428,0.020702776,4.762352,389.74033,57777.668,14.223637
"180",9,1,1965,1966,1,3.428,0.020702776,4.762352,192.66913,754299.13,0.96046317
"181",9,1,1961,1966,1,2.911,0.02317946,4.9665856,201.5766,716342.19,0.96046317
"182",9,1,1962,1966,1,3.039,0.02309064,5.0409517,201.57378,725831.44,0.96046317
"183",9,1,1973,1966,1,6.226,0.018571869,4.7788353,123.17523,720592,0.96046317
"184",9,1,1971,1966,1,5.295,0.017965313,4.5331388,126.86886,767536,0.96046317
"185",9,1,1970,1966,1,5.071,0.018103806,4.5345101,149.2466,779896,0.96046317
"186",9,1,1974,1966,1,6.794,0.018206704,4.5637054,131.97955,697450,0.96046317
"187",9,1,1963,1966,1,3.113,0.022263223,4.930933,199.395,735320.69,0.96046317
"188",9,1,1959,1966,1,2.711,0.024572613,5.0305376,209.03935,682339.69,0.96046317
"189",9,1,1960,1966,1,2.799,0.023666454,5.0038772,194.20236,706853,0.96046317
"190",9,1,1972,1966,1,5.692,0.017917464,4.6259632,137.26773,745982,0.96046317
"191",9,1,1966,1966,1,3.705,0.019265654,4.655983,185.53664,763788.31,0.96046317
