stfips,region,year,ymcaid,exp,ch_pop,crate0,chrate0,hc,rmvp_ch_dent,rmvp_ch_pdrug,rmvp_ch_md,rmvp_ch_hosp,rmvp_ch,emvp_ch_dent,emvp_ch_pdrug,emvp_ch_md,emvp_ch_hosp,emvp_ch,pcmvp_ch_dent,pcmvp_ch_pdrug,pcmvp_ch_md,pcmvp_ch_hosp,pcmvp_ch,prmvp_ch_dent,prmvp_ch_pdrug,prmvp_ch_md,prmvp_ch_hosp,prmvp_ch,hpc,bpc,pcinc
5,4,1963,1970,-4,719927.6640625,2.685596,5.4256611,1,.0022145342821805,0,.0114683550682799,.0010383832602535,.0145742732993841,280946.390625,0,346551.5,669163.625,1318442.25,.39024252,0,.48136988,.92948729,1.8313538,176.21878,0,41.973751,895.12933,125.65661,.043905288,5.035388,1.637
5,4,1964,1970,-4,719632.2265625,2.685596,5.4256611,1,.002555105622489,0,.0108536277592082,.00117483877586,.0132536019359134,342004.703125,0,437005.21875,845828.4375,1657165.75,.47524929,0,.6072619,1.1753621,2.3027954,185.99986,0,55.95013,1000.4454,173.74864,.042528875,5.1525369,1.757
5,4,1965,1970,-4,719336.7734375,2.685596,5.4256611,1,.0028486997608812,0,.0131097229567555,.0012439977017548,.0156009326094589,364897.796875,0,512319.046875,846130.59375,1754560.8125,.50726974,0,.7122103,1.1762649,2.4391367,178.07063,0,54.326874,945.55231,156.34558,.043878846,5.0403795,1.859
5,4,1966,1970,-4,719041.3359375,2.685596,5.4256611,1,.0028767693305952,0,.0133065465828641,.0011539828369291,.0162054787379708,433766.53125,0,447641.171875,868877.5625,1793250.875,.60325676,0,.62255275,1.2083833,2.4939468,209.69937,0,46.78545,1047.1415,153.89529,.044134997,5.1594887,2.063
5,4,1967,1970,-3,718745.890625,2.685596,5.4256611,1,.0036832762126127,0,.0122738769215582,.0014532687228851,.0180036811352751,474709.40625,0,510127.46875,1141442.875,2314842.375,.66046906,0,.7097466,1.5881035,3.2206688,179.31564,0,57.82579,1092.7804,178.88945,.047061842,5.2222605,2.185
5,4,1968,1970,-2,718450.4453125,2.685596,5.4256611,1,.0036188996358159,0,.0100215674527976,.0013779654708375,.0158674838971541,544609.8125,0,572360.625,1445355.125,2827114.75,.75803393,0,.79665983,2.0117674,3.9350171,209.4653,0,79.494537,1459.9548,247.99251,.046763141,5.2337518,2.37
5,4,1969,1970,-1,718155,2.685596,5.4256611,1,.0045222775004223,0,.0147243124975162,.0019627245340263,.0226815033325728,0,0,0,0,2837900,0,0,0,0,3.951654,0,0,0,0,174.22363,.049108446,5.1901817,2.616
5,4,1970,1970,0,726486,2.685596,5.4256611,1,.0035265648086382,.0395270379274478,.0180251253947392,.0021844879458932,.0210010921883289,422403.5625,1326412,1540494,2436883.25,4474388.5,.58143389,1.8257916,2.1204731,3.3543429,6.1589465,164.87259,46.190952,117.63985,1535.5283,293.26791,.048633702,5.1598291,2.84
5,4,1971,1970,1,734846,2.685596,5.4256611,1,.0065838793312228,.0389595720202319,.0281688493168979,.0037419596099929,.0338362907274221,1204584.6875,1326412,2986927.5,4244210.625,9297868.5,1.6392342,1.8050203,4.0646987,5.7756462,12.652812,248.97694,46.330601,144.29764,1543.4817,373.94205,.047668792,5.0620203,3.088
5,4,1972,1970,2,743904,2.685596,5.4256611,1,.0082896828542456,.0383919374187707,.0346816054184718,.0046149258683615,.0418506950087157,1649365.125,1326412,4376071.75,6653980.5,13367949,2.2171748,1.783042,5.882576,8.9446764,17.969992,267.46194,46.443134,169.61659,1938.2058,429.38336,.045589987,5.1571193,3.409
5,4,1973,1970,3,749851,2.685596,5.4256611,1,.0110048855765608,.0378241360123337,.0441014299786001,.0055852929789815,.0528567247082357,2313279.875,1326412,5913986.5,7842021,19171440.5,3.084986,1.7689008,7.8868823,10.458106,25.566999,280.32877,46.766457,178.83507,1872.4364,483.70383,.045180678,5.2642779,3.978
5,4,1974,1970,4,755545,2.685596,5.4256611,1,.0160258033638017,.0444853870744834,.0538840840737622,.0074902095815111,.0691297317040133,3597849.625,1918837.25,7586141.75,9672878,27916514,4.7619262,2.5396731,10.040622,12.802517,36.948845,297.1412,57.09005,186.33743,1709.2335,534.48553,.043804746,5.2646642,4.368
5,4,1975,1970,5,768148,2.685596,5.4256611,1,.0220061474444015,.0568679688848017,.0598400088996291,.0095388889403863,.0866025806889881,5334499.25,2632679,8241531.75,13084028.5,37037191,6.9446244,3.4273069,10.729094,17.033213,48.216217,315.57657,60.267792,179.29633,1785.66,556.75269,.042626992,5.3195705,4.668
5,4,1976,1970,6,759030,2.685596,5.4256611,1,.0256377296682121,.0641559023266535,.0638868684273094,.0105731648312126,.0974828675888845,6266440.5,2754095.5,7855681.5,15249920,40754032,8.2558537,3.6284409,10.349632,20.091328,53.692253,322.01968,56.556618,161.99937,1900.2189,550.78656,.042422589,5.4245577,5.157
6,5,1963,1966,-3,6356669.75,3.1898656,7.0733838,1,.0051166846803771,.0118491355883827,.0165211229413761,0,.0173335947875503,11044349,5252104.75,15683894,0,31690829,1.7374426,.82623529,2.4673131,0,4.985445,339.56415,69.729584,149.34294,0,287.61749,.031008016,4.6307454,3.1
6,5,1964,1966,-2,6522320.5625,3.1898656,7.0733838,1,.0073895595219512,.0161086481560165,.0223184340739427,0,.0227258936290555,18930788,6540320.25,20998228,0,46187148,2.902462,1.0027597,3.2194412,0,7.081398,392.77878,62.249775,144.25032,0,311.60043,.031814504,4.6388059,3.273
6,5,1965,1966,-1,6687971.4375,3.1898656,7.0733838,1,.0091899523758446,.0204180508499162,.0282071853854235,0,.0305722994251642,22033404,6874226,21205330,0,51738982,3.2944825,1.0278492,3.1706669,0,7.736125,358.48743,50.340221,112.40636,0,253.04361,.031856764,4.5143595,3.41
6,5,1966,1966,0,6853622.25,3.1898656,7.0733838,1,.0155325223421042,.0355884460505851,.0448729757987588,.0101147019659149,.0643146301495541,68791480,19327202,133743764,112069964,368293920,10.037244,2.819998,19.514318,16.351933,53.737122,646.20825,79.239151,434.87906,1616.6499,835.53491,.031027541,4.6257119,3.653
6,5,1967,1966,1,7019273.34375,3.1898656,7.0733838,1,.0183899608739906,.0613891231348642,.0854602199167734,.0123838075130114,.1329317457136627,45480722,29064690,204190664,172975424,486972576,6.4794059,4.140698,29.09,24.642925,69.376495,352.33386,67.450027,340.3923,1989.9312,521.89563,.030449897,4.5931072,3.87
6,5,1968,1966,2,7184923.90625,3.1898656,7.0733838,1,.0253308177300277,.0626311419378782,.0839257320620648,.0123731305416248,.1203909782684255,54356916,30213704,194070736,188780736,522756064,7.565413,4.205153,27.010826,26.274563,72.757355,298.66437,67.141563,321.84201,2123.5178,604.34229,.029743595,4.6281862,4.196
6,5,1969,1966,3,7350575,3.1898656,7.0733838,1,.0338493486829631,.0976478864222419,.1196534615768241,.0154575783665305,.1735101499604208,21749188,13846833,85275240,80843016,657468992,2.9588418,1.8837755,11.601166,10.998189,89.444565,87.412071,19.291513,96.956375,711.50793,515.50049,.029778326,4.6094112,4.532
6,5,1970,1966,4,7363868,3.1898656,7.0733838,1,.03725623963132,.1116668536548416,.1313372312880283,.0179796810807675,.1905791857942609,86996752,55387332,341100960,323372064,932974400,11.814002,7.5214996,46.320896,43.913342,126.69624,317.10129,67.356606,352.68671,2442.3872,664.79578,.028833961,4.4931092,4.801
6,5,1971,1966,5,7377161,3.1898656,7.0733838,1,.0408826015063618,.1129445444087741,.1362562542115885,.0199789723465409,.1903826289163156,81718460,57394348,322224224,320707824,1030834208,11.077224,7.780005,43.678623,43.473068,139.73318,270.95203,68.883408,320.56232,2175.9412,733.95972,.02870382,4.4235339,5.027
6,5,1972,1966,6,7337456,3.1898656,7.0733838,1,.041205661570955,.1038857656975359,.128793658773782,.017817124307732,.1738236040652776,77424116,51855842,280546872,317155504,950756704,10.551902,7.0672779,38.234898,43.224178,129.57579,256.07895,68.02932,296.86942,2425.9907,745.44421,.028321706,4.4539404,5.451
6,5,1973,1966,7,7303957,3.1898656,7.0733838,1,.0437477751115328,.1004373047990805,.1238357201917247,.0151277082933569,.1665588117989749,83495232,47806774,256299216,335575232,899092672,11.431506,6.5453253,35.090462,45.944305,123.09666,261.30487,65.168266,283.36301,3037.0962,739.05817,.027937654,4.4312568,5.944
6,5,1974,1966,7,7267093,3.1898656,7.0733838,1,.0481694705580755,.1112819882030883,.1321187474950676,.0161265267756834,.1832828743191138,100596620,51712416,268638664,399693296,1038198272,13.842759,7.1159701,36.966454,55.000439,142.86295,287.37619,63.945389,279.79718,3410.5569,779.46692,.027771633,4.4840322,6.557
6,5,1975,1966,7,7253090,3.1898656,7.0733838,1,.0514888650367386,.1176660893078875,.1365188169182996,.0168854931118513,.1918786583513041,112632536,58110366,279124560,472097440,1173596160,15.528904,8.0118084,38.483536,65.089149,161.80637,301.59732,68.089355,281.89182,3854.7378,843.27448,.027069932,4.4145346,7.136
6,5,1976,1966,7,7245053,3.1898656,7.0733838,1,.0540738518306038,.1200270734717102,.137696085172885,.0169099996685771,.1944469030418745,116173096,62761116,288408448,499691328,1230921856,16.034817,8.6626167,39.807636,68.970001,169.89825,296.53549,72.172188,289.09781,4078.6519,873.7514,.026624598,4.3694887,7.835
8,5,1963,1969,-4,750576,2.8375297,5.2621183,1,0,.0071896892300128,.0028165359343014,.0029282218108186,.0090847392635385,0,185767.0078125,374475.40625,2398343.5,2723054.75,0,.24749926,.49891737,3.1953373,3.6279533,0,34.424194,177.13866,1091.2211,399.34592,.04133511,5.3645554,2.528
8,5,1964,1969,-4,767506.666015625,2.8375297,5.2621183,1,0,.0079004605586632,.00369037340323,.0055893912868948,.0104684838184372,0,226883.9296875,555454.78125,3527043.5,3970918.5,0,.29561168,.72371328,4.5954566,5.1737905,0,37.417019,196.10841,822.17474,494.22537,.042456865,5.4727936,2.628
8,5,1965,1969,-4,784437.333984375,2.8375297,5.2621183,1,0,.0090387220009684,.004331512767539,.0049705519265167,.0127859025689192,0,221188.4375,647262.75,4075494,4572268.5,0,.28197083,.82512999,5.195436,5.8287239,0,31.195873,190.49464,1045.2433,455.87112,.039479118,5.2965283,2.787
8,5,1966,1969,-3,801367.9990234375,2.8375297,5.2621183,1,0,.0120677702576468,.0051098978567135,.0074737429004067,.0165278555064865,0,257067.6171875,830745.53125,5404162.5,6023636.5,0,.32078597,1.0366592,6.7436714,7.5166922,0,26.582043,202.87279,902.31512,454.78931,.039602309,5.1473098,2.965
8,5,1967,1969,-2,818298.666015625,2.8375297,5.2621183,1,0,.0094468464885996,.0053397533536396,.0055383278178252,.0168814809587774,0,358600.390625,1182801.9375,8104453,9906820.5,0,.43822679,1.4454404,9.9040279,12.106607,0,46.388683,270.69421,1788.2705,717.15314,.040204596,5.2130346,3.126
8,5,1968,1969,-1,835229.33203125,2.8375297,5.2621183,1,0,.0067761195521008,.0044847044642492,.0010533697213412,.0165281751659382,0,470931.21875,1591357.1875,11232665,14567962.5,0,.56383461,1.9052937,13.4486,17.441872,0,83.209076,424.84265,12767.217,1055.2811,.038884733,5.2646136,3.364
8,5,1969,1969,0,852160,2.8375297,5.2621183,1,0,.0353800623536199,.0494940505236242,.0084015400120286,.0593767257677954,0,1825873.375,7649262.5,11721006,24820916,0,2.1426415,8.9763222,13.754466,29.12706,0,60.560703,181.36163,1637.1364,490.54675,.039476991,5.3609753,3.687
8,5,1970,1969,1,867579,2.8375297,5.2621183,1,0,.0353800623536199,.0494940505236242,.0084015400120286,.0593767257677954,0,1825873.375,7649262.5,11721006,24820916,0,2.1045616,8.8167906,13.510015,28.609402,0,59.484394,178.1384,1608.0404,481.82855,.037696224,5.0041733,4.04
8,5,1971,1969,2,883019,2.8375297,5.2621183,1,0,.0449380481381031,.057493865008887,.0086769793656989,.0610453848363708,0,2071213.625,9237104.5,11721006,29800835,0,2.3456049,10.460822,13.273787,33.748802,0,52.196411,181.94675,1529.7705,552.84778,.037766844,5.0503383,4.399
8,5,1972,1969,3,906311,2.8375297,5.2621183,1,0,.046255126667621,.0578313608285782,.0084307410515386,.0634281229545719,0,2152993.75,9766385,11721006,34920058,0,2.3755574,10.775975,12.932653,38.529884,0,51.357708,186.33446,1533.9878,607.4574,.036594775,4.8787484,4.774
8,5,1973,1969,4,923910,2.8375297,5.2621183,1,0,.0437790891475934,.0547345718019425,.0079799266555733,.0635894248206632,0,2152993.75,9766385,11721006,38558636,0,2.3303068,10.57071,12.686307,41.734192,0,53.228764,193.12675,1589.7775,656.30707,.035257228,4.6287131,5.283
8,5,1974,1969,5,921726,2.8375297,5.2621183,1,0,.0412998396173365,.0516327020730334,.0075290103586518,.0634504121794307,0,2152993.75,9766385,11721006,40716506,0,2.3358283,10.595757,12.716367,44.174198,0,56.557808,205.21408,1688.9825,696.20032,.035413217,4.6981535,5.837
8,5,1975,1969,6,919921,2.8375297,5.2621183,1,0,.0388173810332938,.0485257524227081,.0070779915145772,.0736878183097919,0,2152993.75,9766385,11721006,45196970,0,2.3404117,10.616548,12.741318,49.131359,0,60.292877,218.78172,1800.1318,666.75012,.035572838,4.8263059,6.322
8,5,1976,1969,7,912898,2.8375297,5.2621183,1,0,.036331712760266,.0454137200036938,.006626870169809,.0829885064556195,0,2152993.75,9766385,11721006,47698892,0,2.3584166,10.698221,12.839338,52.249969,0,64.913445,235.57245,1937.4663,629.60486,.035329379,4.7728853,6.88
9,1,1963,1966,-3,986151,1.6915168,3.7796817,0,.0086879792656153,.0268939536104708,.0332024330423853,.0043204558335177,.0415250404429314,1668579.125,1927616.0625,3581176.5,5693881.5,14416484,1.6920118,1.9546865,3.6314688,5.7738433,14.618941,194.7532,72.681267,109.37357,1336.3969,352.05124,.022263223,4.9309325,3.113
9,1,1964,1966,-2,1008973,1.6915168,3.7796817,0,.008714987566683,.0309902883796501,.037485154845626,.0045906586181035,.0476350574796218,1381366.625,2160426.75,3843930.75,6478744,15714477,1.3690819,2.1412137,3.8097458,6.4211273,15.574725,157.09511,69.093056,101.63346,1398.7377,326.95929,.021467878,4.8557429,3.258
9,1,1965,1966,-1,1031795,1.6915168,3.7796817,0,.0071686733995054,.0267465711581404,.0353844661646989,.0036339484711688,.045986105316333,1067993.53125,1574654.78125,3048231.625,5333610.5,12507603,1.0350831,1.5261314,2.9542997,5.1692543,12.122178,144.38977,57.058956,83.491432,1422.4896,263.60526,.020702776,4.762352,3.428
9,1,1966,1966,0,1054617,1.6915168,3.7796817,0,.0112519966743405,.0380338802847059,.0488846043775718,.0052084740133178,.0647258767051355,1072596.5625,975005.8125,2373344.625,5548323.75,13175171.5,1.0170485,.92451173,2.2504327,5.2609844,12.492849,90.38826,24.307585,46.035614,1010.0817,193.01167,.019265654,4.655983,3.705
9,1,1967,1966,1,1077439,1.6915168,3.7796817,0,.0115847016981929,.043345506700227,.0526463991079408,.0071648744832129,.0813868144758402,1729413.75,2387894.125,5330774,13389782.5,34939322,1.6051152,2.2162685,4.9476342,12.427416,32.42812,138.55473,51.130295,93.978584,1734.4918,398.4444,.018568914,4.5500717,4.018
9,1,1968,1966,2,1100261,1.6915168,3.7796817,0,.0163597542826439,.0450802123408103,.0495337008134084,.0103611783301765,.0759819717910849,3838863.25,3544011,9782164,24761826,60959300,3.4890478,3.2210639,8.8907671,22.505411,55.4044,213.27019,71.451836,179.48926,2172.0898,729.17822,.018234923,4.5695367,4.243
