"stfips","region","year","year_mcaid","income_pc","hospitals_pc","beds_pc","child_pop","afdc_rate","public_insurance_child"
19,2,1973,1967,5.409,0.048882119,6.3036985,1047744,1.6279405,0.0654555006874914
19,2,1974,1967,5.603,0.048466809,6.4366713,1030445,1.6279405,0.0652094864937327
19,2,1975,1967,6.231,0.047892023,6.4786105,1017082,1.6279405,0.0637953538943616
19,2,1976,1967,6.596,0.047179949,6.353107,1007467,1.6279405,0.0642566995141495
20,2,1963,1967,2.35,0.065833777,5.5999575,834101.32421875,1.5592599,0.0097487888593136
20,2,1964,1967,2.481,0.064239286,5.478435,835574.451171875,1.5592599,0.0115242479555988
20,2,1965,1967,2.65,0.064459309,5.4540238,837047.548828125,1.5592599,0.0163227267489512
20,2,1966,1967,2.851,0.067372665,5.8079729,838520.67578125,1.5592599,0.0202890914475371
20,2,1967,1967,2.99,0.06757994,5.9479294,839993.775390625,1.5592599,0.0327282226562519
20,2,1968,1967,3.222,0.067339785,6.3205748,841466.87109375,1.5592599,0.0505070393526984
20,2,1969,1967,3.555,0.06710133,6.3612947,842940,1.5592599,0.0670309823675409
20,2,1970,1967,3.824,0.066270553,6.1560454,831883,1.5592599,0.0712888740095423
20,2,1971,1967,4.152,0.065436259,6.240037,820848,1.5592599,0.0820960310270353
20,2,1972,1967,4.619,0.064722307,6.3352499,811307,1.5592599,0.0825944322367871
20,2,1973,1967,5.275,0.064470977,5.8809891,800511,1.5592599,0.0786183739920627
20,2,1974,1967,5.71,0.06657628,6.4839125,787455,1.5592599,0.0801278377154139
20,2,1975,1967,6.206,0.066258669,6.4981766,777248,1.5592599,0.0860450157164686
20,2,1976,1967,6.716,0.065248825,6.5422821,771154,1.5592599,0.0907994605974904
21,3,1963,1966,1.888,0.036972765,4.0160856,1233252.3125,2.6565115,0.0249054663934564
21,3,1964,1966,1.953,0.038083982,4.1192021,1233174.3984375,2.6565115,0.0296346438170201
21,3,1965,1966,2.112,0.039184444,4.3363047,1233096.6015625,2.6565115,0.0386019178558821
21,3,1966,1966,2.303,0.038356487,4.3307667,1233018.6875,2.6565115,0.0507604590734383
21,3,1967,1966,2.473,0.037536457,4.3688622,1232940.76953125,2.6565115,0.0916031401011984
21,3,1968,1966,2.686,0.036091082,4.434454,1232862.91796875,2.6565115,0.0799764467735085
21,3,1969,1966,2.964,0.036549937,4.4559417,1232785,2.6565115,0.126853391469726
21,3,1970,1966,3.176,0.034609336,4.4219608,1246915,2.6565115,0.0984974944946401
21,3,1971,1966,3.383,0.035166807,4.5683503,1261057,2.6565115,0.107547700003058
21,3,1972,1966,3.705,0.035968259,4.6417036,1260132,2.6565115,0.113847060192359
21,3,1973,1966,4.132,0.033810426,4.7331629,1256066,2.6565115,0.117625208564241
21,3,1974,1966,4.595,0.033945631,4.8302293,1255337,2.6565115,0.119797782583679
21,3,1975,1966,4.94,0.034015987,4.9305887,1257795,2.6565115,0.132534897620785
21,3,1976,1966,5.457,0.033421323,4.9381423,1260646,2.6565115,0.142979442759693
22,4,1963,1966,1.9,0.03943307,4.5490346,1451284.984375,2.767731,0.0016026584216665
22,4,1964,1966,1.993,0.038693819,4.5855107,1465128.65625,2.767731,0.0023408729041724
22,4,1965,1966,2.127,0.038840678,4.5968232,1478972.34375,2.767731,0.0031424887849461
22,4,1966,1966,2.317,0.03984423,4.6752477,1492816.03125,2.767731,0.0044837194871703
22,4,1967,1966,2.516,0.038557723,4.667469,1506659.65625,2.767731,0.009548860914748
22,4,1968,1966,2.738,0.038140398,4.7364202,1520503.34375,2.767731,0.0153238731403401
22,4,1969,1966,2.886,0.039119214,4.7631111,1534347,2.767731,0.0215156056540869
22,4,1970,1966,3.089,0.036638141,4.5543394,1536681,2.767731,0.0260652641272101
22,4,1971,1966,3.31,0.038809676,4.81213,1539015,2.767731,0.0381360344243306
22,4,1972,1966,3.576,0.038811218,5.2974653,1535734,2.767731,0.0492792824294783
22,4,1973,1966,3.977,0.038271863,5.2965622,1520340,2.767731,0.0663697292383916
22,4,1974,1966,4.493,0.038474787,5.3359556,1504689,2.767731,0.0892269172265768
22,4,1975,1966,4.958,0.037819974,5.4020815,1505066,2.767731,0.104882863901686
22,4,1976,1966,5.549,0.03694794,5.3187318,1505545,2.767731,0.10803005854716
23,1,1963,1966,2.03,0.049329612,4.6400666,376655.666625977,2.0641463,0.0033272321969977
