"stfips","region","year","year_mcaid","white","income_pc","hospitals_pc","beds_pc","mort_rate","child_pop","afdc_rate"
38,2,1972,1966,1,4.412,0.090322353,6.645824,136.64659,171238,1.021643
39,2,1961,1966,0,2.399,0.022637175,4.3672414,355.59265,291796.22,10.086432
40,3,1971,1966,0,3.71,0.050799906,5.0513444,256.19382,99897,16.192783
41,5,1973,1967,0,5.109,0.035283845,4.3140082,163.54706,21788,11.045128
41,5,1974,1967,1,5.701,0.035072215,4.2213793,155.71921,542772,1.6624918
42,1,1967,1966,0,3.243,0.023681652,5.7076216,381.81454,334917,10.071328
45,4,1973,1968,1,4.016,0.028464992,4.3461356,187.34288,496494,0.35449556
46,2,1965,1967,1,2.277,0.090932272,7.0233998,195.49023,198962.56,1.2447121
47,4,1971,1969,1,3.439,0.036156554,5.6830621,188.92836,882948,1.4396635
51,4,1963,1969,0,2.188,0.02467333,4.0687041,476.05853,304132,5.9381614
53,5,1964,1966,0,2.838,0.037826415,4.1725445,346.52277,43122.109,7.5264297
53,5,1970,1966,1,4.189,0.034210786,4.4424314,182.4893,906562,1.584587
55,2,1973,1966,1,5.127,0.035188645,6.0453649,139.63789,1174854,0.76199996
56,5,1975,1967,0,6.721,0.073580228,5.8128381,167.04871,3372,6.7926402
1,4,1968,1970,0,2.474,0.036517248,4.7787528,390.81793,338379.22,12.35074
1,4,1966,1970,0,2.132,0.037759114,4.5575547,427.37512,352901.66,12.35074
1,4,1972,1970,0,3.526,0.038418047,5.1790915,351.21045,318043,12.35074
1,4,1973,1970,0,3.943,0.039656397,5.4605742,328.95044,314167,12.35074
1,4,1974,1970,0,4.336,0.038591117,5.4647775,312.17783,309213,12.35074
1,4,1969,1970,0,2.734,0.03634477,4.9883199,405.89096,331118,12.35074
1,4,1978,1970,0,6.464,0.037037317,5.6093278,248.50948,303115,12.35074
1,4,1963,1970,0,1.734,0.037103139,4.2544932,479.66681,374685.34,12.35074
1,4,1975,1970,0,4.766,0.037494957,5.4976301,298.40814,306966,12.35074
1,4,1967,1970,0,2.256,0.036691371,4.8166304,406.98709,345640.44,12.35074
1,4,1977,1970,0,5.794,0.03714405,5.5508542,258.19843,304164,12.35074
1,4,1971,1970,0,3.206,0.036313217,4.9108624,366.04355,322414,12.35074
1,4,1964,1970,0,1.864,0.03872481,4.4770684,485.74841,367424.13,12.35074
1,4,1976,1970,0,5.313,0.037195232,5.4821491,298.01492,305875,12.35074
1,4,1965,1970,0,2,0.038837131,4.4820042,462.75101,360162.88,12.35074
1,4,1970,1970,0,2.962,0.035894617,4.9774833,392.72809,326766,12.35074
1,4,1971,1970,1,3.206,0.036313217,4.9108624,182.21213,693923,1.1999325
1,4,1975,1970,1,4.766,0.037494957,5.4976301,147.63161,668643,1.1999325
1,4,1976,1970,1,5.313,0.037195232,5.4821491,149.99263,660900,1.1999325
1,4,1965,1970,1,2,0.038837131,4.4820042,231.14827,702059.69,1.1999325
1,4,1970,1970,1,2.962,0.035894617,4.9774833,193.67538,693982,1.1999325
1,4,1968,1970,1,2.474,0.036517248,4.7787528,208.93001,696045.69,1.1999325
1,4,1977,1970,1,5.794,0.03714405,5.5508542,143.91957,653458,1.1999325
1,4,1978,1970,1,6.464,0.037037317,5.6093278,129.53474,648526,1.1999325
1,4,1969,1970,1,2.734,0.03634477,4.9883199,209.21107,694041,1.1999325
1,4,1964,1970,1,1.864,0.03872481,4.4770684,233.77849,704064.31,1.1999325
1,4,1973,1970,1,3.943,0.039656397,5.4605742,182.13562,679802,1.1999325
1,4,1972,1970,1,3.526,0.038418047,5.1790915,178.24977,688037,1.1999325
1,4,1963,1970,1,1.734,0.037103139,4.2544932,247.8652,706069,1.1999325
1,4,1966,1970,1,2.132,0.037759114,4.5575547,222.81111,700055,1.1999325
1,4,1967,1970,1,2.256,0.036691371,4.8166304,205.62709,698050.38,1.1999325
5,4,1965,1970,0,1.859,0.043878846,5.0403795,430.42734,144082.34,11.868187
5,4,1978,1970,0,6.469,0.043285098,5.5168419,237.77991,122852,11.868187
5,4,1976,1970,0,5.157,0.042422589,5.4245577,234.90891,123283,11.868187
5,4,1973,1970,0,3.978,0.045180678,5.2642779,321.27292,126403,11.868187
5,4,1964,1970,0,1.757,0.042528875,5.1525369,443.16779,146970.66,11.868187
5,4,1975,1970,0,4.668,0.042626992,5.3195705,284.68753,124993,11.868187
5,4,1963,1970,0,1.637,0.043905284,5.0353875,451.48062,149859,11.868187
5,4,1977,1970,0,5.657,0.042814523,5.4655342,257.80234,122743,11.868187
5,4,1968,1970,0,2.37,0.046763144,5.2337523,376.53271,135417.33,11.868187
5,4,1969,1970,0,2.616,0.049108446,5.1901817,330.82837,132529,11.868187
5,4,1970,1970,0,2.84,0.048633702,5.1598291,363.45596,130623,11.868187
5,4,1967,1970,0,2.185,0.047061838,5.2222595,377.55954,138305.67,11.868187
5,4,1971,1970,0,3.088,0.047668792,5.0620203,309.14963,128738,11.868187
5,4,1966,1970,0,2.063,0.044135001,5.1594892,415.47769,141194,11.868187
5,4,1974,1970,0,4.368,0.043804746,5.2646642,288.72321,124868,11.868187
5,4,1972,1970,0,3.409,0.045589987,5.1571193,259.14734,127308,11.868187
5,4,1963,1970,1,1.637,0.043905284,5.0353875,261.04547,409626.66,1.0138228
5,4,1965,1970,1,1.859,0.043878846,5.0403795,221.94321,408621.09,1.0138228
5,4,1964,1970,1,1.757,0.042528875,5.1525369,256.38947,409123.91,1.0138228
5,4,1972,1970,1,3.409,0.045589987,5.1571193,179.95749,421789,1.0138228
5,4,1975,1970,1,4.668,0.042626992,5.3195705,157.0737,432738,1.0138228
5,4,1967,1970,1,2.185,0.047061838,5.2222595,201.31313,407615.56,1.0138228
5,4,1976,1970,1,5.157,0.042422589,5.4245577,148.7657,423315,1.0138228
5,4,1974,1970,1,4.368,0.043804746,5.2646642,165.39473,425847,1.0138228
5,4,1977,1970,1,5.657,0.042814523,5.4655342,129.76782,422621,1.0138228
5,4,1966,1970,1,2.063,0.044135001,5.1594892,215.67204,408118.34,1.0138228
5,4,1969,1970,1,2.616,0.049108446,5.1901817,199.75273,406610,1.0138228
5,4,1970,1970,1,2.84,0.048633702,5.1598291,195.08179,412070,1.0138228
5,4,1968,1970,1,2.37,0.046763144,5.2337523,191.79646,407112.78,1.0138228
5,4,1971,1970,1,3.088,0.047668792,5.0620203,189.24225,417530,1.0138228
5,4,1973,1970,1,3.978,0.045180678,5.2642779,174.8167,423337,1.0138228
6,5,1963,1966,0,3.1,0.031008018,4.6307454,311.4151,520988.34,11.87743
6,5,1971,1966,0,5.027,0.02870382,4.4235339,211.90146,711879,11.87743
6,5,1962,1966,0,3.002,0.029074544,4.5063138,318.20682,494703.22,11.87743
6,5,1965,1966,0,3.41,0.03185676,4.5143595,289.23752,573558.56,11.87743
6,5,1974,1966,0,6.557,0.027771633,4.4840322,172.31218,746780,11.87743
6,5,1970,1966,0,4.801,0.028833961,4.4931092,237.5697,695289,11.87743
6,5,1967,1966,0,3.87,0.030449897,4.5931072,246.39755,626128.75,11.87743
6,5,1972,1966,0,5.451,0.028321706,4.4539404,204.31317,722272,11.87743
6,5,1966,1966,0,3.653,0.031027541,4.6257119,271.98184,599843.69,11.87743
6,5,1968,1966,0,4.196,0.029743593,4.6281857,229.89594,652413.88,11.87743
6,5,1960,1966,0,2.822,0.025386194,4.0851412,310.67233,442133,11.87743
6,5,1961,1966,0,2.878,0.026600948,4.369422,311.99792,468418.13,11.87743
6,5,1969,1966,0,4.532,0.029778328,4.6094117,249.10757,678699,11.87743
6,5,1964,1966,0,3.273,0.031814504,4.6388059,300.66879,547273.44,11.87743
6,5,1959,1966,0,2.739,0.024927475,4.0240445,319.23605,415334.91,11.87743
6,5,1973,1966,0,5.944,0.027937651,4.4312563,186.03777,734955,11.87743
6,5,1961,1966,1,2.878,0.026600948,4.369422,231.59546,4383957,2.2977915
6,5,1962,1966,1,3.002,0.029074544,4.5063138,223.08644,4446352.5,2.2977915
6,5,1973,1966,1,5.944,0.027937651,4.4312563,143.86559,4595869,2.2977915
6,5,1968,1966,1,4.196,0.029743593,4.6281857,181.81915,4820724,2.2977915
6,5,1972,1966,1,5.451,0.028321706,4.4539404,149.62872,4688346,2.2977915
6,5,1974,1966,1,6.557,0.027771633,4.4840322,145.41351,4503550,2.2977915
6,5,1969,1966,1,4.532,0.029778328,4.6094117,179.1624,4883119,2.2977915
6,5,1970,1966,1,4.801,0.028833961,4.4931092,173.32162,4833657,2.2977915
6,5,1967,1966,1,3.87,0.030449897,4.5931072,184.42931,4758328.5,2.2977915
6,5,1966,1966,1,3.653,0.031027541,4.6257119,194.35527,4695933.5,2.2977915
6,5,1965,1966,1,3.41,0.03185676,4.5143595,209.46729,4633538,2.2977915
6,5,1964,1966,1,3.273,0.031814504,4.6388059,219.91815,4571143,2.2977915
6,5,1963,1966,1,3.1,0.031008018,4.6307454,222.98618,4508747.5,2.2977915
6,5,1971,1966,1,5.027,0.02870382,4.4235339,152.64293,4784195,2.2977915
6,5,1959,1966,1,2.739,0.024927475,4.0240445,230.07819,4131948,2.2977915
8,5,1972,1969,0,4.774,0.036594775,4.8787484,179.9389,34223,15.386324
8,5,1965,1969,0,2.787,0.039479114,5.2965279,331.11755,24793.557,15.386324
8,5,1963,1969,0,2.528,0.04133511,5.3645554,357.2085,22485.334,15.386324
8,5,1970,1969,0,4.04,0.037696224,5.0041733,284.32401,31041,15.386324
8,5,1971,1969,0,4.399,0.037766844,5.0503383,194.19998,32685,15.386324
8,5,1973,1969,0,5.283,0.035257228,4.6287131,221.10667,35792,15.386324
8,5,1967,1969,0,3.126,0.040204596,5.2130346,302.88025,27101.777,15.386324
8,5,1969,1969,0,3.687,0.039476991,5.3609753,330.68799,29410,15.386324
8,5,1974,1969,0,5.837,0.035413217,4.6981535,177.06516,36236,15.386324
8,5,1977,1969,0,7.535,0.035049602,4.6923814,150.69231,38322,15.386324
8,5,1968,1969,0,3.364,0.038884733,5.2646136,282.03345,28255.891,15.386324
8,5,1976,1969,0,6.88,0.035329379,4.7728853,195.24455,37282,15.386324
8,5,1966,1969,0,2.965,0.039602306,5.1473098,313.50726,25947.666,15.386324
8,5,1962,1969,0,2.461,0.042872816,5.2456794,399.46735,21331.223,15.386324
8,5,1975,1969,0,6.322,0.035572838,4.8263059,210.38551,36693,15.386324
8,5,1966,1969,1,2.965,0.039602306,5.1473098,198.2753,591117.69,2.3637426
8,5,1968,1969,1,3.364,0.038884733,5.2646136,192.32637,604811.88,2.3637426
8,5,1963,1969,1,2.528,0.04133511,5.3645554,252.40547,570576.31,2.3637426
8,5,1976,1969,1,6.88,0.035329379,4.7728853,137.66098,611714,2.3637426
8,5,1969,1969,1,3.687,0.039476991,5.3609753,196.30023,611659,2.3637426
8,5,1973,1969,1,5.283,0.035257228,4.6287131,163.92867,635787,2.3637426
8,5,1967,1969,1,3.126,0.040204596,5.2130346,198.23372,597964.81,2.3637426
8,5,1965,1969,1,2.787,0.039479114,5.2965279,220.36885,584270.56,2.3637426
8,5,1970,1969,1,4.04,0.037696224,5.0041733,201.00087,616430,2.3637426
8,5,1975,1969,1,6.322,0.035572838,4.8263059,136.65288,622359,2.3637426
8,5,1971,1969,1,4.399,0.037766844,5.0503383,183.04294,621201,2.3637426
8,5,1962,1969,1,2.461,0.042872816,5.2456794,249.27272,563729.19,2.3637426
8,5,1972,1969,1,4.774,0.036594775,4.8787484,164.52982,630722,2.3637426
8,5,1977,1969,1,7.535,0.035049602,4.6923814,127.35597,609027,2.3637426
8,5,1964,1969,1,2.628,0.042456869,5.4727941,249.437,577423.44,2.3637426
9,1,1961,1966,0,2.911,0.02317946,4.9665856,382.3356,43892.336,14.223637
9,1,1960,1966,0,2.799,0.023666454,5.0038772,361.5433,40421,14.223637
9,1,1972,1966,0,5.692,0.017917464,4.6259632,259.25171,73400,14.223637
9,1,1970,1966,0,5.071,0.018103806,4.5345101,334.4577,72494,14.223637
9,1,1967,1966,0,4.018,0.018568916,4.5500722,319.2092,64720.336,14.223637
9,1,1964,1966,0,3.258,0.021467878,4.8557425,379.25504,54306.332,14.223637
9,1,1966,1966,0,3.705,0.019265654,4.655983,362.58356,61249,14.223637
9,1,1968,1966,0,4.243,0.018234922,4.5695362,299.84048,68191.664,14.223637
9,1,1974,1966,0,6.794,0.018206704,4.5637054,238.70595,73549,14.223637
9,1,1971,1966,0,5.295,0.017965313,4.5331388,264.65286,73325,14.223637
9,1,1962,1966,0,3.039,0.02309064,5.0409517,419.03998,47363.664,14.223637
9,1,1963,1966,0,3.113,0.022263223,4.930933,433.23929,50835,14.223637
9,1,1959,1966,0,2.711,0.024572613,5.0305376,440.39053,37893.5,14.223637
9,1,1969,1966,0,4.821,0.017249301,4.3594289,325.99493,71663,14.223637
9,1,1965,1966,0,3.428,0.020702776,4.762352,389.74033,57777.668,14.223637
9,1,1965,1966,1,3.428,0.020702776,4.762352,192.66913,754299.13,0.96046317
9,1,1961,1966,1,2.911,0.02317946,4.9665856,201.5766,716342.19,0.96046317
9,1,1962,1966,1,3.039,0.02309064,5.0409517,201.57378,725831.44,0.96046317
9,1,1973,1966,1,6.226,0.018571869,4.7788353,123.17523,720592,0.96046317
9,1,1971,1966,1,5.295,0.017965313,4.5331388,126.86886,767536,0.96046317
9,1,1970,1966,1,5.071,0.018103806,4.5345101,149.2466,779896,0.96046317
9,1,1974,1966,1,6.794,0.018206704,4.5637054,131.97955,697450,0.96046317
9,1,1963,1966,1,3.113,0.022263223,4.930933,199.395,735320.69,0.96046317
9,1,1959,1966,1,2.711,0.024572613,5.0305376,209.03935,682339.69,0.96046317
9,1,1960,1966,1,2.799,0.023666454,5.0038772,194.20236,706853,0.96046317
9,1,1972,1966,1,5.692,0.017917464,4.6259632,137.26773,745982,0.96046317
9,1,1966,1966,1,3.705,0.019265654,4.655983,185.53664,763788.31,0.96046317
9,1,1964,1966,1,3.258,0.021467878,4.8557425,190.39584,744809.88,0.96046317
9,1,1968,1966,1,4.243,0.018234922,4.5695362,160.52791,782766.81,0.96046317
9,1,1967,1966,1,4.018,0.018568916,4.5500722,165.69554,773277.56,0.96046317
10,3,1963,1966,0,3.055,0.027265197,7.0218368,491.40689,24979,11.54299
10,3,1966,1966,0,3.607,0.021683222,6.3827519,482.40549,27228,11.54299
10,3,1973,1966,0,5.858,0.018994993,5.3047833,272.06122,30722,11.54299
10,3,1965,1966,0,3.477,0.026149791,6.5394592,440.2854,26478.334,11.54299
10,3,1974,1966,0,6.336,0.015433448,4.8118062,256.95193,30553,11.54299
10,3,1970,1966,0,4.594,0.01813207,5.5484138,392.1348,30024,11.54299
10,3,1962,1966,0,2.937,0.027859362,6.919837,479.32687,24229.334,11.54299
10,3,1964,1966,0,3.216,0.026695849,6.8402977,482.33875,25728.666,11.54299
10,3,1961,1966,0,2.823,0.028479995,7.0170326,529.30902,23479.666,11.54299
10,3,1959,1966,0,2.738,0.029990451,7.2876797,482.62244,21709.5,11.54299
10,3,1967,1966,0,3.78,0.01932466,5.8534398,427.37082,27977.666,11.54299
10,3,1969,1966,0,4.406,0.020453282,6.0541716,435.22061,29477,11.54299
10,3,1968,1966,0,4.072,0.018952237,5.6117573,394.12448,28727.334,11.54299
10,3,1972,1966,0,5.297,0.017426947,5.0869255,403.28775,30711,11.54299
10,3,1960,1966,0,2.817,0.029128911,7.0469556,488.68329,22730,11.54299
10,3,1971,1966,0,4.888,0.017692633,5.4068685,293.0546,30571,11.54299
10,3,1962,1966,1,2.937,0.027859362,6.919837,179.85425,124222,0.69369686
10,3,1966,1966,1,3.607,0.021683222,6.3827519,175.18642,130990,0.69369686
10,3,1963,1966,1,3.055,0.027265197,7.0218368,205.65042,125914,0.69369686
10,3,1964,1966,1,3.216,0.026695849,6.8402977,177.74786,127606,0.69369686
10,3,1965,1966,1,3.477,0.026149791,6.5394592,188.71942,129298,0.69369686
10,3,1973,1966,1,5.858,0.018994993,5.3047833,137.06389,128834,0.69369686
10,3,1971,1966,1,4.888,0.017692633,5.4068685,142.27644,135396,0.69369686
10,3,1972,1966,1,5.297,0.017426947,5.0869255,140.94334,132706,0.69369686
10,3,1960,1966,1,2.817,0.029128911,7.0469556,183.76691,120838,0.69369686
10,3,1970,1966,1,4.594,0.01813207,5.5484138,162.39183,135731,0.69369686
10,3,1959,1966,1,2.738,0.029990451,7.2876797,203.8215,115697.4,0.69369686
10,3,1961,1966,1,2.823,0.028479995,7.0170326,206.83405,122530,0.69369686
10,3,1968,1966,1,4.072,0.018952237,5.6117573,151.16766,134374,0.69369686
10,3,1967,1966,1,3.78,0.01932466,5.8534398,163.68022,132682,0.69369686
10,3,1969,1966,1,4.406,0.020453282,6.0541716,183.29153,136066,0.69369686
10,3,1974,1966,1,6.336,0.015433448,4.8118062,151.15488,124870,0.69369686
11,3,1974,1968,0,7.252,0.023586281,9.7439089,297.24979,139265,3.7599699
11,3,1975,1968,0,8.034,0.023933414,9.6310873,319.4632,132165,3.7599699
11,3,1965,1968,0,3.756,0.022312058,8.8683863,387.93423,157719,3.7599699
11,3,1972,1968,0,6.026,0.024200769,10.05542,287.74823,154703,3.7599699
11,3,1973,1968,0,6.47,0.024533957,9.8326645,270.33231,147526,3.7599699
11,3,1969,1968,0,4.483,0.023675146,9.9422455,331.93567,171727,3.7599699
11,3,1967,1968,0,4.234,0.023649812,9.2799234,320.80661,164723,3.7599699
11,3,1961,1968,0,2.906,0.020954786,8.1252184,410.64572,143711,3.7599699
11,3,1976,1968,0,8.728,0.024414588,9.8261538,307.23618,124777,3.7599699
11,3,1971,1968,0,5.497,0.023979506,9.9754744,333.75763,161241,3.7599699
11,3,1966,1968,0,3.951,0.02232399,9.2263737,388.28934,161221,3.7599699
11,3,1963,1968,0,3.254,0.02097716,8.347599,413.82825,150715,3.7599699
11,3,1964,1968,0,3.462,0.020988366,8.4609346,432.33643,154217,3.7599699
11,3,1970,1968,0,4.97,0.023826353,10.034866,362.82925,166484,3.7599699
11,3,1968,1968,0,4.53,0.02366247,9.7699709,297.51721,168225,3.7599699
11,3,1962,1968,1,3.099,0.020965964,8.201623,291.74286,46293.891,0.11082212
11,3,1961,1968,1,2.906,0.020954786,8.1252184,307.25839,49878.445,0.11082212
11,3,1973,1968,1,6.47,0.024533957,9.8326645,241.34433,18739,0.11082212
11,3,1971,1968,1,5.497,0.023979506,9.9754744,211.76611,20330,0.11082212
11,3,1970,1968,1,4.97,0.023826353,10.034866,269.01617,20766,0.11082212
11,3,1974,1968,1,7.252,0.023586281,9.7439089,215.94513,17820,0.11082212
11,3,1975,1968,1,8.034,0.023933414,9.6310873,223.63686,16939,0.11082212
11,3,1966,1968,1,3.951,0.02232399,9.2263737,248.90053,31955.666,0.11082212
11,3,1963,1968,1,3.254,0.02097716,8.347599,319.58728,42709.332,0.11082212
11,3,1967,1968,1,4.234,0.023649812,9.2799234,245.14325,28371.111,0.11082212
11,3,1968,1968,1,4.53,0.02366247,9.7699709,172.9724,24786.555,0.11082212
11,3,1976,1968,1,8.728,0.024414588,9.8261538,125.55885,16484,0.11082212
11,3,1965,1968,1,3.756,0.022312058,8.8683863,266.33398,35540.223,0.11082212
11,3,1972,1968,1,6.026,0.024200769,10.05542,177.02086,19617,0.11082212
11,3,1964,1968,1,3.462,0.020988366,8.4609346,266.46619,39124.777,0.11082212
11,3,1969,1968,1,4.483,0.023675146,9.9422455,262.18729,21202,0.11082212
12,4,1974,1970,0,5.591,0.025249267,4.9434457,309.34692,418365,17.579067
12,4,1965,1970,0,2.493,0.025472028,3.7735741,486.59106,367589.31,17.579067
12,4,1977,1970,0,6.972,0.026606498,5.3785625,258.47748,411625,17.579067
12,4,1972,1970,0,4.696,0.024732785,4.7504234,313.91528,403032,17.579067
12,4,1966,1970,0,2.676,0.026869446,4.19379,470.96698,373441,17.579067
12,4,1963,1970,0,2.197,0.02786704,3.7177911,484.32486,355886,17.579067
12,4,1976,1970,0,6.36,0.026106363,5.287631,250.77048,413232,17.579067
12,4,1967,1970,0,2.902,0.026897514,4.3929925,421.11203,379292.66,17.579067
12,4,1969,1970,0,3.658,0.026644539,4.7993665,410.99792,390996,17.579067
12,4,1968,1970,0,3.238,0.025984796,4.4441829,414.43127,385144.31,17.579067
12,4,1978,1970,0,7.841,0.026939979,5.4362907,243.43222,411629,17.579067
12,4,1964,1970,0,2.346,0.026455231,3.7665195,491.63281,361737.69,17.579067
12,4,1973,1970,0,5.217,0.024598749,4.7947378,322.95099,411899,17.579067
12,4,1970,1970,0,3.998,0.025635572,4.6707721,385.00204,393954,17.579067
12,4,1975,1970,0,5.901,0.025756346,5.2011428,294.02853,417854,17.579067
12,4,1977,1970,1,6.972,0.026606498,5.3785625,123.33311,1428764,0.85829926
12,4,1975,1970,1,5.901,0.025756346,5.2011428,139.07872,1481691,0.85829926
12,4,1966,1970,1,2.676,0.026869446,4.19379,204.83041,1271673.6,0.85829926
12,4,1972,1970,1,4.696,0.024732785,4.7504234,172.09352,1417283,0.85829926
12,4,1964,1970,1,2.346,0.026455231,3.7665195,236.1143,1223943.5,0.85829926
12,4,1978,1970,1,7.841,0.026939979,5.4362907,123.75589,1419146,0.85829926
12,4,1969,1970,1,3.658,0.026644539,4.7993665,195.89178,1343269,0.85829926
12,4,1963,1970,1,2.197,0.02786704,3.7177911,236.48276,1200078.4,0.85829926
12,4,1974,1970,1,5.591,0.025249267,4.9434457,153.78691,1484321,0.85829926
12,4,1965,1970,1,2.493,0.025472028,3.7735741,218.02425,1247808.5,0.85829926
12,4,1971,1970,1,4.282,0.025268845,4.7703671,183.50174,1389497,0.85829926
12,4,1970,1970,1,3.998,0.025635572,4.6707721,197.07939,1366383,0.85829926
12,4,1967,1970,1,2.902,0.026897514,4.3929925,184.27022,1295538.8,0.85829926
12,4,1968,1970,1,3.238,0.025984796,4.4441829,197.2496,1319403.9,0.85829926
12,4,1973,1970,1,5.217,0.024598749,4.7947378,174.62271,1452776,0.85829926
12,4,1976,1970,1,6.36,0.026106363,5.287631,127.15092,1448904,0.85829926
13,4,1967,1967,0,2.636,0.0321436,4.011795,405.49887,433480.66,6.0136557
13,4,1970,1967,0,3.379,0.032961227,4.2103629,371.21497,432463,6.0136557
13,4,1973,1967,0,4.481,0.033833016,4.6838346,296.91071,438825,6.0136557
13,4,1971,1967,0,3.65,0.033759963,4.5085473,310.64526,435376,6.0136557
13,4,1975,1967,0,5.157,0.034202572,4.9065866,260.77148,435615,6.0136557
13,4,1974,1967,0,4.854,0.034237903,4.8723936,270.53867,435316,6.0136557
13,4,1960,1967,0,1.685,0.032461636,3.5474482,479.48895,447217,6.0136557
13,4,1962,1967,0,1.828,0.031696763,3.610728,471.43384,443292.34,6.0136557
13,4,1972,1967,0,4.023,0.033287417,4.581181,308.67288,438038,6.0136557
13,4,1961,1967,0,1.731,0.031948354,3.5729742,448.32214,445254.69,6.0136557
13,4,1963,1967,0,1.946,0.031694833,3.7292235,489.24402,441330,6.0136557
13,4,1964,1967,0,2.067,0.031216372,3.7428668,479.15408,439367.69,6.0136557
13,4,1968,1967,0,2.87,0.033034343,4.0191784,412.31696,431518.31,6.0136557
13,4,1966,1967,0,2.442,0.032614615,3.9001067,451.77383,435443,6.0136557
13,4,1965,1967,0,2.241,0.031691145,3.6988261,472.6376,437405.31,6.0136557
13,4,1969,1967,1,3.149,0.032570656,3.9838121,187.82507,938179,0.81942666
13,4,1967,1967,1,2.636,0.0321436,4.011795,190.91364,924479.63,0.81942666
13,4,1961,1967,1,1.731,0.031948354,3.5729742,221.59415,883381.63,0.81942666
13,4,1965,1967,1,2.241,0.031691145,3.6988261,211.10786,910780.38,0.81942666
13,4,1971,1967,1,3.65,0.033759963,4.5085473,184.56281,950601,0.81942666
13,4,1975,1967,1,5.157,0.034202572,4.9065866,142.30894,932970,0.81942666
13,4,1972,1967,1,4.023,0.033287417,4.581181,165.44868,948146,0.81942666
13,4,1962,1967,1,1.828,0.031696763,3.610728,225.66997,890231.38,0.81942666
13,4,1960,1967,1,1.685,0.032461636,3.5474482,242.91042,876532,0.81942666
13,4,1974,1967,1,4.854,0.034237903,4.8723936,156.60443,944774,0.81942666
13,4,1970,1967,1,3.379,0.032961227,4.2103629,185.45276,944390,0.81942666
13,4,1964,1967,1,2.067,0.031216372,3.7428668,222.68933,903930.63,0.81942666
13,4,1968,1967,1,2.87,0.033034343,4.0191784,193.07191,931329.38,0.81942666
13,4,1963,1967,1,1.946,0.031694833,3.7292235,230.50131,897081,0.81942666
13,4,1973,1967,1,4.481,0.033833016,4.6838346,167.97455,948585,0.81942666
13,4,1966,1967,1,2.442,0.032614615,3.9001067,198.93362,917630,0.81942666
16,5,1961,1966,0,1.955,0.070090957,3.9191284,329.20297,4013.4446,7.0189452
16,5,1969,1966,0,3.264,0.070252202,4.2610111,378.68555,4489,7.0189452
16,5,1960,1966,0,1.882,0.067446955,3.6900978,274.56122,3954,7.0189452
16,5,1971,1966,0,3.739,0.0649653,4.175374,211.32898,4779,7.0189452
16,5,1974,1966,0,5.353,0.059402779,4.132206,234.02518,5186,7.0189452
16,5,1959,1966,0,1.878,0.069767214,3.7477126,559.30872,3799.2,7.0189452
16,5,1967,1966,0,2.715,0.066593841,4.0636721,172.48993,4370.1113,7.0189452
16,5,1964,1966,0,2.218,0.069051035,3.841882,284.31726,4191.7778,7.0189452
16,5,1965,1966,0,2.522,0.07163512,3.7542648,431.56372,4251.2222,7.0189452
