client_zip,las_race_key,hispanic_flag,age,year,male,dismissal,loc2,st_id
11201,Black,N,20,2016,1,1,high street - brooklyn bridge station,96
11208,Black,N,28,2016,1,0,kingston - throop avs,106
11229,White,N,29,2016,1,1,sheepshead bay b q line,143
,White,Y,22,2016,1,0,livonia ave l line,111
10466,Black,N,31,2016,1,0,broadway and lorimer st j m station,112
11236,Black,N,24,2016,1,0,canarsie rockaway pkwy,54
,Black,N,36,2016,1,1,sutter av - rutland rd 3 line,148
11204,White,N,29,2016,1,1,bay parkway n line and 66th st,41
10451,Black,N,20,2016,1,1,junius st 3 line,101
11373,White,N,35,2016,1,1,coney island-stillwell ave,66
11233,Black,N,17,2016,1,1,halsey street j subway,93
11212,Black,N,21,2016,0,1,van siclen av 3 line,151
11212,Black,N,21,2016,1,1,van siclen av 3 line,151
11205,White,N,16,2016,1,1,wilson av l subway,155
11208,Black,N,30,2016,1,1,crescent st j z line,69
10472,White,Y,34,2016,1,0,coney island-stillwell ave,66
,Black,N,52,2016,1,1,nostrand ave and fulton st a c station,131
,Black,N,26,2016,1,,flushing ave g line station,79
11212,Black,N,48,2016,1,0,livonia ave l line,111
,White,Y,19,2016,1,1,jay st - metrotech,99
11224,Black,N,32,2016,1,,euclid av a subway a subway,77
11212,Black,N,22,2016,1,0,rockaway ave 3 line,140
11206,Other,N,19,2016,0,1,halsey street j subway,93
11210,Other,N,16,2016,1,,ocean pkwy q station,132
10033,White,Y,23,2016,1,1,bedford ave l station,44
11224,White,N,32,2016,1,1,coney island-stillwell ave,66
11213,White,N,21,2016,1,1,utica ave and eastern parkway,70
11211,Black,N,52,2016,1,0,graham ave l line,88
11221,Black,N,48,2016,1,0,jay st - metrotech,99
11208,Black,N,18,2016,1,1,jay st - metrotech,99
,Black,N,31,2016,1,1,canarsie rockaway pkwy,54
11208,Black,N,18,2016,1,1,utica ave and fulton st,150
11237,Black,N,22,2016,0,1,myrtle - willoughby avs g line,118
11212,Black,N,18,2016,0,1,rockaway ave 3 line,140
11213,Black,N,22,2016,1,0,atlantic ave barclays center station,27
11228,White,N,18,2016,1,1,79 st d line subway,20
11212,Black,N,23,2016,1,0,bedford - nostrand avs g line,45
11212,Black,N,55,2016,1,0,livonia ave l line,111
,White,Y,52,2016,1,1,broadway and lorimer st j m station,112
11212,Black,N,24,2016,1,1,rockaway ave 3 line,140
11222,Black,N,53,2016,1,1,franklin ave and eastern parkway,84
11385,White,N,37,2016,1,0,smith-9 sts f subway g subway,145
11221,Black,N,19,2016,1,0,bay 50 st d subway,38
,Black,N,20,2016,1,0,marcy ave j m z line,114
11203,Black,N,39,2016,1,0,rockaway ave c line,141
,White,N,28,2016,1,,prospect park subway station b q s lines,138
11238,Black,N,38,2016,1,0,clinton - washington avs station,64
11208,White,N,22,2016,1,0,broadway and lorimer st j m station,112
11207,,N,17,2016,1,1,utica ave and fulton st,150
10456,Black,N,53,2016,1,0,rockaway ave c line,141
11205,Black,N,56,2016,1,0,lafayette av c subway,109
11412,Black,N,31,2016,1,,sheepshead bay b q line,143
11212,White,N,18,2016,0,,sutter avenue station l line,147
11212,Black,N,18,2016,0,1,rockaway ave 3 line,140
11224,,N,18,2016,0,1,coney island-stillwell ave,66
10303,Black,N,26,2016,0,,jefferson st l line station,100
11224,Black,N,53,2016,1,1,coney island-stillwell ave,66
11207,Black,N,51,2016,0,1,sutter avenue station l line,147
10454,White,Y,52,2016,1,0,rockaway ave 3 line,140
11210,Black,N,23,2016,1,0,nevins st 2 3 4 5 lines,123
11216,Black,N,22,2016,1,1,broadway and lorimer st j m station,112
10462,Black,N,17,2016,1,1,rockaway ave 3 line,140
10040,Black,N,29,2016,1,1,atlantic ave barclays center station,27
11212,Black,N,22,2016,1,1,rockaway ave 3 line,140
11213,Black,Y,29,2016,1,0,utica ave and fulton st,150
,Black,N,17,2016,1,0,cleveland st j subway,63
11226,Black,N,40,2016,1,0,kingston - throop avs,106
11206,White,N,45,2016,1,0,flushing ave j line m line station,80
11435,Black,N,19,2016,1,,25th av d line subway,7
