x,y,st_id,mta_name,pop_black_2016,pov_black_2016,pop_all_2016,pov_all_2016,povrt_all_2016,shareblack,nblack
-73.95063,40.723911,120,Nassau Av  G subway,434,12,11709,1358,.11597916,.037065506,0
-73.955162,40.595245,121,Neck Rd  Q subway,333,30,14076,2004,.14236999,.023657288,0
-73.974571,40.581013,122,Neptune Av F subway,130,0,8024,1009,.12574776,.016201396,0
-73.980492,40.688248,123,Nevins St  2 subway 3 subway 4 subway 5 subway,2698,306,13654,1221,.089424342,.19759777,0
-73.883614,40.666145,124,New Lots Av  3 subway,9811,2913,12313,3899,.31665719,.79680014,1
-73.899246,40.658886,125,New Lots Av  L subway,8206,2363,9290,2939,.31636167,.88331538,1
-73.996834,40.625595,126,New Utrecht Av N subway/62 St D subway,126,72,15889,4444,.27969036,.0079300143,0
-73.948624,40.639896,127,Newkirk Av  2 subway 5 subway,16562,2438,18760,2856,.1522388,.88283581,1
-73.962776,40.634968,128,Newkirk Plaza  B subway Q subway,5307,368,21741,4226,.19437928,.244101,0
-73.880035,40.681412,129,Norwood Av  J subway Z subway,4180,879,13655,3080,.2255584,.30611497,0
-73.950775,40.669746,130,Nostrand Av  3 subway,12842,2711,20629,4643,.2250715,.6225217,1
-73.949791,40.680546,131,Nostrand Av  A subway C subway,10311,2437,15934,3511,.22034644,.64710683,1
-73.968498,40.576313,132,Ocean Pkwy  Q subway,114,7,11303,2997,.26515085,.010085818,0
-73.957626,40.67477,133,Park Pl  S subway,8288,2140,17306,3531,.20403329,.47890905,0
-73.961494,40.655293,134,Parkside Av  Q subway,17768,2930,28017,4934,.17610736,.63418639,1
-73.894897,40.664635,135,Pennsylvania Av 3 subway,12546,4546,15462,5938,.3840383,.81140864,1
-73.950684,40.667881,136,President St  2 subway 5 subway,11408,2303,17376,3972,.22859116,.65653777,1
-73.992882,40.665562,137,Prospect Av  R subway,463,135,9742,1183,.12143297,.047526177,0
-73.962151,40.66087,138,Prospect Park  B subway Q subway S subway,7269,932,11508,1749,.15198123,.63164753,1
-73.921745,40.678871,139,Ralph Av  C subway,11830,3573,14114,4418,.31302252,.83817488,1
-73.908905,40.662575,140,Rockaway Av  3 subway,12189,4797,15545,6228,.40064329,.78411067,1
-73.910774,40.678493,141,Rockaway Av  C subway,12335,2263,15422,3353,.21741667,.79983139,1
-73.916016,40.66156,142,Saratoga Av 3 subway ,4532,1043,5411,1483,.27407134,.83755314,1
-73.954155,40.586895,143,Sheepshead Bay B subway Q subway,610,122,11355,1959,.17252311,.053720828,0
-73.880753,40.674129,144,Shepherd Av  C subway,9642,2673,15914,4775,.30005026,.60588163,1
-73.995773,40.679253,145,Smith-9 Sts  F subway G subway,187,76,14998,772,.051473528,.012468329,0
-73.951042,40.663288,146,Sterling St  2 subway 5 subway ,15318,3031,23318,5241,.22476199,.65691739,1
-73.901978,40.669369,147,Sutter Av  L subway,11804,6706,15751,9104,.57799506,.74941272,1
-73.922859,40.665035,148,Sutter Av-Rutland Rd 3 subway,14869,5245,16726,6219,.37181634,.88897526,1
-73.983109,40.677315,149,Union St  R subway,1863,513,12967,1456,.11228503,.14367239,0
-73.92907,40.679272,150,Utica Av  A subway C subway ,14825,4592,18556,6149,.3313753,.79893297,1
-73.888489,40.665588,151,Van Siclen Av  3 subway,11868,3117,15365,4265,.27757892,.77240479,1
-73.890564,40.672779,152,Van Siclen Av  C subway,6707,1548,10561,2746,.26001325,.63507241,1
-73.891617,40.67778,153,Van Siclen Av  J subway Z subway ,3246,672,10586,3191,.30143586,.30663139,0
-73.975967,40.576126,154,West 8 St-New York Aquarium F subway Q subway,0,0,2721,665,.24439545,0,0
-73.904045,40.688763,155,Wilson Av L subway,2463,384,6821,1667,.24439232,.36109075,0
-73.949997,40.657188,156,Winthrop St  2 subway 5 subway,14257,2924,17480,3934,.22505721,.81561786,1
-73.986603,40.701351,157,York St  F subway,2929,1578,11575,3674,.3174082,.25304535,0
